종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
139050,BF랩스,KOSDAQ,관리종목(소속부없음),2805,0,0.0,0,0,0,0,0,24247965555,8644551
099520,DGI,KOSDAQ,관리종목(소속부없음),1284,0,0.0,0,0,0,0,0,58141862016,45281824
245620,EDGC,KOSDAQ,관리종목(소속부없음),415,0,0.0,0,0,0,0,0,57474989665,138493951
111870,KH 미래물산,KOSDAQ,관리종목(소속부없음),8910,0,0.0,0,0,0,0,0,43928518590,4930249
038340,MIT,KOSDAQ,관리종목(소속부없음),1233,0,0.0,0,0,0,0,0,39979891836,32424892
222160,NPX,KOSDAQ,관리종목(소속부없음),8040,0,0.0,0,0,0,0,0,79551289560,9894439
317240,TS트릴리온,KOSDAQ,관리종목(소속부없음),314,0,0.0,0,0,0,0,0,33673649508,107240922
900280,골든센츄리,KOSDAQ,관리종목(소속부없음),97,0,0.0,0,0,0,0,0,19924215936,205404288
014200,광림,KOSDAQ,관리종목(소속부없음),1006,0,0.0,0,0,0,0,0,91250936176,90706696
078130,국일제지,KOSDAQ,관리종목(소속부없음),800,0,0.0,0,0,0,0,0,901924696800,1127405871
187790,나노,KOSDAQ,관리종목(소속부없음),1025,0,0.0,0,0,0,0,0,31611850750,30840830
123840,뉴온,KOSDAQ,관리종목(소속부없음),280,0,0.0,277,280,270,95880,26486403,81828584600,292244945
065150,대산F&B,KOSDAQ,관리종목(소속부없음),145,0,0.0,0,0,0,0,0,18165948725,125282405
290380,대유,KOSDAQ,관리종목(소속부없음),2300,0,0.0,0,0,0,0,0,56841307600,24713612
023790,동일철강,KOSDAQ,관리종목(소속부없음),1194,-6,-0.5,1200,1211,1188,15110,18164383,25134650010,20841335
217620,디딤이앤에프,KOSDAQ,관리종목(소속부없음),381,0,0.0,0,0,0,0,0,22001687010,57747210
066410,버킷스튜디오,KOSDAQ,관리종목(소속부없음),1153,0,0.0,0,0,0,0,0,96978744678,84109926
121800,비덴트,KOSDAQ,관리종목(소속부없음),3320,0,0.0,0,0,0,0,0,256309348520,77201611
230980,비유테크놀러지,KOSDAQ,관리종목(소속부없음),229,0,0.0,0,0,0,0,0,21370407553,93320557
238200,비피도,KOSDAQ,관리종목(소속부없음),4545,0,0.0,0,0,0,0,0,37178100000,8180000
258830,세종메디칼,KOSDAQ,관리종목(소속부없음),412,0,0.0,0,0,0,0,0,22983976612,55786351
222810,세토피아,KOSDAQ,관리종목(소속부없음),1080,0,0.0,0,0,0,0,0,81712098000,75659350
268600,셀리버리,KOSDAQ,관리종목(소속부없음),6680,0,0.0,0,0,0,0,0,248090837960,37139347
068940,셀피글로벌,KOSDAQ,관리종목(소속부없음),778,0,0.0,0,0,0,0,0,29766744466,38260597
204630,스튜디오산타클로스,KOSDAQ,관리종목(소속부없음),4650,0,0.0,0,0,0,0,0,19045962900,4095906
269620,시스웍,KOSDAQ,관리종목(소속부없음),889,0,0.0,0,0,0,0,0,132090012299,148582691
117670,알파홀딩스,KOSDAQ,관리종목(소속부없음),945,0,0.0,0,0,0,0,0,37743429465,39940137
299910,애닉,KOSDAQ,관리종목(소속부없음),6880,0,0.0,0,0,0,0,0,32483121920,4721384
263540,어스앤에어로스페이스,KOSDAQ,관리종목(소속부없음),5950,0,0.0,0,0,0,0,0,85049841450,14294091
217480,에스디생명공학,KOSDAQ,관리종목(소속부없음),499,0,0.0,0,0,0,0,0,54756837359,109733141
052020,에스티큐브,KOSDAQ,관리종목(소속부없음),5670,300,5.59,4800,5670,4500,706194,3693826630,264756391830,46694249
054630,에이디칩스,KOSDAQ,관리종목(소속부없음),158,0,0.0,0,0,0,0,0,12594094838,79709461
089530,에이티세미콘,KOSDAQ,관리종목(소속부없음),600,0,0.0,0,0,0,0,0,57896956200,96494927
182400,엔케이맥스,KOSDAQ,관리종목(소속부없음),2020,0,0.0,0,0,0,0,0,172748038620,85518831
019590,엠벤처투자,KOSDAQ,관리종목(소속부없음),921,0,0.0,0,0,0,0,0,104963185182,113966542
323230,엠에프엠코리아,KOSDAQ,관리종목(소속부없음),161,0,0.0,0,0,0,0,0,6967193212,43274492
244460,올리패스,KOSDAQ,관리종목(소속부없음),691,41,6.31,644,764,618,1587856,1084249175,25228698384,35989584
071460,위니아,KOSDAQ,관리종목(소속부없음),613,0,0.0,0,0,0,0,0,22047951835,35967295
160600,이큐셀,KOSDAQ,관리종목(소속부없음),3100,0,0.0,0,0,0,0,0,106895911200,34482552
024810,이화전기,KOSDAQ,관리종목(소속부없음),899,0,0.0,0,0,0,0,0,196834827360,218948640
119610,인터로조,KOSDAQ,관리종목(소속부없음),24900,0,0.0,0,0,0,0,0,329090302200,13216478
150840,인트로메딕,KOSDAQ,관리종목(소속부없음),5850,0,0.0,0,0,0,0,0,244813584600,41848476
178780,일월지엠엘,KOSDAQ,관리종목(소속부없음),8650,0,0.0,0,0,0,0,0,124120536750,14349195
174880,장원테크,KOSDAQ,관리종목(소속부없음),2650,0,0.0,0,0,0,0,0,11610352250,4381265
072520,제넨바이오,KOSDAQ,관리종목(소속부없음),389,0,0.0,0,0,0,0,0,28849482466,74163194
052670,제일바이오,KOSDAQ,관리종목(소속부없음),2080,0,0.0,0,0,0,0,0,60588453120,29129064
044060,조광ILI,KOSDAQ,관리종목(소속부없음),732,0,0.0,0,0,0,0,0,70075958688,95732184
047820,초록뱀미디어,KOSDAQ,관리종목(소속부없음),5400,0,0.0,0,0,0,0,0,132051222000,24453930
046070,코다코,KOSDAQ,관리종목(소속부없음),257,0,0.0,0,0,0,0,0,10996016392,42786056
036690,코맥스,KOSDAQ,관리종목(소속부없음),2885,0,0.0,0,0,0,0,0,45885746130,15904938
078940,퀀타피아,KOSDAQ,관리종목(소속부없음),2855,0,0.0,0,0,0,0,0,151584163690,53094278
053620,태양,KOSDAQ,관리종목(소속부없음),6370,-40,-0.62,6410,6410,6350,6873,43895800,55040000000,8600000
073640,테라사이언스,KOSDAQ,관리종목(소속부없음),654,0,0.0,0,0,0,0,0,62514162216,95587404
062860,티엘아이,KOSDAQ,관리종목(소속부없음),5800,0,0.0,0,0,0,0,0,57261776000,9872720
208340,파멥신,KOSDAQ,관리종목(소속부없음),2915,0,0.0,0,0,0,0,0,233786229820,80201108
057880,푸른소나무,KOSDAQ,관리종목(소속부없음),8790,0,0.0,0,0,0,0,0,216061434720,24580368
151910,퓨처코어,KOSDAQ,관리종목(소속부없음),640,0,0.0,0,0,0,0,0,121645902080,190071722
041590,플래스크,KOSDAQ,관리종목(소속부없음),789,0,0.0,0,0,0,0,0,103917099150,131707350
257370,피엔티엠에스,KOSDAQ,관리종목(소속부없음),9210,0,0.0,0,0,0,0,0,115169769810,12504861
219750,한국비티비,KOSDAQ,관리종목(소속부없음),967,0,0.0,0,0,0,0,0,63267797795,65426885
226440,한송네오텍,KOSDAQ,관리종목(소속부없음),1530,0,0.0,0,0,0,0,0,100580954580,65739186
016790,현대사료,KOSDAQ,관리종목(소속부없음),994,0,0.0,0,0,0,0,0,187340898626,188471729
215090,휴센텍,KOSDAQ,관리종목(소속부없음),1505,0,0.0,0,0,0,0,0,149972154360,99649272
