종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2090","-10","-0.48","2100","2140","2055","387515","813831435","107277748200","51084642"
"095570","AJ네트웍스","KOSPI",,"4615","-20","-0.43","4635","4635","4560","56350","258467770","207483900015","45252759"
"006840","AK홀딩스","KOSPI",,"13690","30","0.22","13580","13870","13060","7161","96735640","183478719850","13247561"
"054620","APS","KOSDAQ","중견기업부","6110","-30","-0.49","6140","6260","6060","10629","65182610","121553690310","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","18920","0","0.00","18650","19070","18650","63753","1205437730","289277299530","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","11650","50","0.43","11600","11700","11400","37045","428169580","176312133760","15082304"
"109960","AP헬스케어","KOSDAQ","중견기업부","708","10","1.43","698","712","696","78447","55233726","80592137314","114153169"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3525","20","0.57","3500","3535","3490","75288","264298385","337401688275","95716791"
"282330","BGF리테일","KOSPI",,"113600","900","0.80","113700","114000","112300","31713","3598520600","1956538159200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3720","-10","-0.27","3675","3775","3620","61557","226439925","233179029785","62766899"
"138930","BNK금융지주","KOSPI",,"10290","80","0.78","10210","10310","10080","855463","8719601600","3301406489500","322088438"
"001460","BYC","KOSPI",,"33000","-150","-0.45","32900","35000","32900","921","30673250","206747565000","6246150"
"001465","BYC우","KOSPI",,"13190","10","0.08","13040","13200","13040","581","7606810","28430820000","2153850"
"013720","CBI","KOSDAQ","중견기업부","1180","-29","-2.40","1209","1228","1177","154357","183685965","53107481840","44628136"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2425","20","0.83","2415","2425","2350","52424","125150160","186083920440","76894182"
"001040","CJ","KOSPI",,"120000","-3200","-2.60","124300","124400","119100","73208","8800654800","3501239760000","29176998"
"079160","CJ CGV","KOSPI",,"7200","170","2.42","7040","7240","7000","1546052","11085487080","1193829889350","165579735"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","73900","-1100","-1.47","75000","75000","72600","61870","4552210600","1618371565200","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","12660","0","0.00","12540","12660","12470","2269","28551200","115364275320","9112502"
"00104K","CJ4우(전환)","KOSPI",,"89800","-2700","-2.92","92500","92500","89800","6360","574759500","380386080000","4226512"
"000120","CJ대한통운","KOSPI",,"97400","1000","1.04","96600","97800","93700","100380","9652788600","2221922305600","22812344"
"011150","CJ씨푸드","KOSPI",,"3470","35","1.02","3405","3470","3345","386166","1314276605","123601859120","35930773"
"011155","CJ씨푸드1우","KOSPI",,"19080","50","0.26","19070","19250","18900","48","915680","3816000000","200000"
"001045","CJ우","KOSPI",,"60600","0","0.00","60800","60800","59900","2729","164953700","136969513800","2260223"
"097950","CJ제일제당","KOSPI",,"338500","8500","2.58","331000","339500","328500","36959","12413020500","5073260682000","15054186"
"097955","CJ제일제당 우","KOSPI",,"141900","1400","1.00","138700","142000","138700","1809","253163100","188362742700","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","19000","140","0.74","19200","19200","18710","6775","128221250","225560134000","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","2235","-55","-2.40","2300","2325","2225","453593","1026585930","311813087780","138892244"
"023460","CNH","KOSDAQ","투자주의환기종목(소속부없음)","433","16","3.84","434","473","425","4596129","2031462808","16293600000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","803","12","1.52","791","839","788","11295","9035206","59511282358","74111186"
"000480","CR홀딩스","KOSPI",,"5830","0","0.00","5840","5860","5820","12943","75516210","273371556700","46890490"
"065770","CS","KOSDAQ","벤처기업부","1044","0","0.00","1044","1053","1030","33533","34827806","20381686500","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","882","0","0.00","882","908","870","22008","19270352","53836272099","61247181"
"000590","CS홀딩스","KOSPI",,"67900","-100","-0.15","68000","68200","67300","823","55712600","78158431400","1154482"
"012030","DB","KOSPI",,"1142","23","2.06","1120","1160","1109","376583","429255611","231350022950","201173933"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2270","10","0.44","2260","2280","2260","3048","6923510","12065050000","5315000"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2050","-30","-1.44","2070","2075","2050","61395","126158670","12088800000","5840000"
"016610","DB금융투자","KOSPI",,"4750","-70","-1.45","4775","4820","4685","81002","382958860","202044811640","42446389"
"005830","DB손해보험","KOSPI",,"119000","1000","0.85","119600","119600","116000","97366","11463006600","8425200000000","70800000"
"000990","DB하이텍","KOSPI",,"40450","100","0.25","40050","40850","40050","202891","8196851950","1804802602200","44398588"
"139130","DGB금융지주","KOSPI",,"8450","0","0.00","8490","8500","8360","464344","3911386690","1425899372190","169145833"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1092","-36","-3.19","1116","1128","1062","118172","130065998","27581986068","25258229"
"290120","DH오토리드","KOSDAQ","우량기업부","2870","65","2.32","2805","2870","2800","10353","29500230","44528446060","15515138"
"025440","DH오토웨어","KOSDAQ","중견기업부","248","3","1.22","245","248","241","470623","114987623","38168717760","153906120"
"001530","DI동일","KOSPI",,"30200","450","1.51","29750","30250","29750","80653","2423545700","762774078000","25215672"
"000210","DL","KOSPI",,"47850","-250","-0.52","48950","48950","47200","42744","2039782350","1002739049400","20955884"
"000215","DL우","KOSPI",,"25150","-400","-1.57","25150","26050","25150","4331","110083900","42490098000","1686115"
"375500","DL이앤씨","KOSPI",,"33000","100","0.30","33100","33250","32700","102153","3366307900","1274954877850","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"22250","100","0.45","22500","22500","21800","7019","153756100","46357324450","2111951"
"37550K","DL이앤씨우","KOSPI",,"16850","0","0.00","17000","17010","16610","2519","42193200","35618962250","2113885"
"068790","DMS","KOSDAQ","우량기업부","6290","0","0.00","6250","6310","6180","53818","337243590","154564553690","24573061"
"007340","DN오토모티브","KOSPI",,"89200","-300","-0.34","89400","89600","87600","6930","614882500","888467044500","9994005"
"004840","DRB동일","KOSPI",,"4880","-20","-0.41","4900","4950","4880","4725","23184660","97457700000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","3065","-55","-1.76","3120","3125","3060","39395","121358550","84963026250","27496125"
"155660","DSR","KOSPI",,"4030","0","0.00","4030","4030","3995","13097","52541365","64400000000","16000000"
"069730","DSR제강","KOSPI",,"4155","-40","-0.95","4170","4190","4090","11651","48061195","59184000000","14400000"
