일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/12/28","141500","1100","0.78","140900","141600","139500","2459473","346316771700","103012334647500","728002365"
"2023/12/27","140400","-500","-0.35","140800","141600","139200","2336777","327122137900","102211532046000","728002365"
"2023/12/26","140900","300","0.21","142000","142000","139400","2239789","315084165800","102575533228500","728002365"
"2023/12/22","140600","100","0.07","142700","143700","140600","3183709","450429179000","102357132519000","728002365"
"2023/12/21","140500","0","0.00","139200","140600","138100","2737124","380649944900","102284332282500","728002365"
"2023/12/20","140500","2300","1.66","139900","140800","139300","3108011","435406538900","102284332282500","728002365"
"2023/12/19","138200","-1800","-1.29","140000","140800","138100","2309721","320762801100","100609926843000","728002365"
"2023/12/18","140000","0","0.00","139000","140800","138900","2540812","355274996550","101920331100000","728002365"
"2023/12/15","140000","3300","2.41","137000","140000","137000","5011719","698129501600","101920331100000","728002365"
"2023/12/14","136700","5500","4.19","133700","138300","133600","8217135","1118923106350","99517923295500","728002365"
"2023/12/13","131200","200","0.15","130000","132400","130000","2852873","375666911300","95513910288000","728002365"
"2023/12/12","131000","2100","1.63","130600","131900","130500","3126577","410229009236","95368309815000","728002365"
"2023/12/11","128900","1400","1.10","128700","129100","127300","3696790","475006760500","93839504848500","728002365"
"2023/12/08","127500","1900","1.51","128100","129100","127500","2762531","354950602000","92820301537500","728002365"
"2023/12/07","125600","0","0.00","125600","127800","124500","2478565","313055554400","91437097044000","728002365"
"2023/12/06","125600","-300","-0.24","126800","127500","125400","2667583","336768582237","91437097044000","728002365"
"2023/12/05","125900","-5200","-3.97","129700","130000","125400","4375531","555494298000","91655497753500","728002365"
"2023/12/04","131100","-1500","-1.13","133400","134600","131100","2680820","355855850505","95441110051500","728002365"
"2023/12/01","132600","-1300","-0.97","132200","133000","130800","3641222","480440675249","96533113599000","728002365"
"2023/11/30","133900","3500","2.68","129900","133900","129900","3625365","479403393700","97479516673500","728002365"
"2023/11/29","130400","-1000","-0.76","130200","131000","128900","2227853","289214020100","94931508396000","728002365"
"2023/11/28","131400","700","0.54","132100","132100","129900","2562226","335435847120","95659510761000","728002365"
"2023/11/27","130700","2700","2.11","129200","130700","128400","2264243","294264762162","95149909105500","728002365"
"2023/11/24","128000","-2100","-1.61","130600","131000","128000","1925668","248264485500","93184302720000","728002365"
"2023/11/23","130100","-1200","-0.91","130600","131400","129500","1839516","239372172300","94713107686500","728002365"
"2023/11/22","131300","-700","-0.53","129600","131600","129500","2128566","277704556400","95586710524500","728002365"
"2023/11/21","132000","600","0.46","132000","133300","131600","2439306","323127569100","96096312180000","728002365"
"2023/11/20","131400","1500","1.15","129300","132000","129300","2004403","263071361900","95659510761000","728002365"
"2023/11/17","129900","-2400","-1.81","131500","132000","129100","2438499","317746118121","94567507213500","728002365"
"2023/11/16","132300","-1800","-1.34","133000","134400","131200","2456351","324968349900","96314712889500","728002365"
"2023/11/15","134100","4100","3.15","133900","134200","132100","3616292","483201236800","97625117146500","728002365"
"2023/11/14","130000","-1800","-1.37","133500","133500","130000","2589591","339259239200","94640307450000","728002365"
"2023/11/13","131800","1300","1.00","133000","134100","131000","2644761","350143668600","95950711707000","728002365"
"2023/11/10","130500","2500","1.95","127900","130800","127000","2656526","344793091564","95004308632500","728002365"
"2023/11/09","128000","400","0.31","127700","129800","126700","2228081","285946265000","93184302720000","728002365"
"2023/11/08","127600","-2800","-2.15","131600","132700","126600","3328279","429987206000","92893101774000","728002365"
