일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/12/28","201500","11700","6.16","190100","202500","189200","1168768","231255271300","29500158155000","146402770"
"2023/12/27","189800","1000","0.53","188800","190500","186200","504547","95280357300","27787245746000","146402770"
"2023/12/26","188800","3300","1.78","187300","189800","187300","610597","115272602400","27640842976000","146402770"
"2023/12/22","185500","-2200","-1.17","189300","191300","184800","694441","130907712200","27157713835000","146402770"
"2023/12/21","187700","1400","0.75","185100","189400","184800","565199","105908879900","27479799929000","146402770"
"2023/12/20","186300","5600","3.10","183200","189300","181100","864375","160464063600","27274836051000","146402770"
"2023/12/19","180700","3500","1.98","177000","181400","177000","426670","76836013000","26454980539000","146402770"
"2023/12/18","177200","7100","4.17","176000","178800","174100","659264","116507397800","25942570844000","146402770"
"2023/12/15","170100","-13400","-7.30","183800","184000","170100","1592029","278744244400","24903111177000","146402770"
"2023/12/14","183500","3800","2.11","182700","184300","177700","2449173","447014316700","26864908295000","146402770"
"2023/12/13","179700","-3700","-2.02","181600","183600","176200","869873","156604526800","26308577769000","146402770"
"2023/12/12","183400","5700","3.21","178600","184900","177300","1329166","243045486400","26850268018000","146402770"
"2023/12/11","177700","10000","5.96","169400","177900","168700","1198607","209758946100","26015772229000","146402770"
"2023/12/08","167700","10100","6.41","158700","167900","158500","715247","117967080180","24551744529000","146402770"
"2023/12/07","157600","-2500","-1.56","159700","159800","157500","334778","53011044900","23073076552000","146402770"
"2023/12/06","160100","-2500","-1.54","163000","163300","160100","277472","44795604400","23439083477000","146402770"
"2023/12/05","162600","0","0.00","161700","163500","161700","251068","40806704500","23805090402000","146402770"
"2023/12/04","162600","-500","-0.31","163900","164800","161600","228258","37186362200","23805090402000","146402770"
"2023/12/01","163100","200","0.12","164000","164300","161900","239925","39238909700","23878291787000","146402770"
"2023/11/30","162900","1200","0.74","161000","163000","160600","370771","60179703800","23849011233000","146402770"
"2023/11/29","161700","-3300","-2.00","164000","164900","161600","296616","48276332400","23673327909000","146402770"
"2023/11/28","165000","2200","1.35","162800","165500","162800","301166","49603934700","24156457050000","146402770"
"2023/11/27","162800","-5200","-3.10","166700","167800","161600","457392","74845570300","23834370956000","146402770"
"2023/11/24","168000","-4900","-2.83","173100","173200","167000","514846","87202327400","24595665360000","146402770"
"2023/11/23","172900","600","0.35","171500","173000","171100","311317","53661824484","25313038933000","146402770"
"2023/11/22","172300","100","0.06","171900","172800","170000","374864","64329476200","25225197271000","146402770"
"2023/11/21","172200","2300","1.35","169900","172200","169500","354688","60679084600","25210556994000","146402770"
"2023/11/20","169900","1500","0.89","167900","170500","167500","368107","62332001800","24873830623000","146402770"
"2023/11/17","168400","200","0.12","168800","169300","167100","402600","67820943900","24654226468000","146402770"
"2023/11/16","168200","3200","1.94","166000","168200","165100","516886","86417534900","24624945914000","146402770"
"2023/11/15","165000","5900","3.71","161200","165000","160300","637929","103847618400","24156457050000","146402770"
"2023/11/14","159100","2300","1.47","157900","159500","157300","350954","55740421700","23292680707000","146402770"
"2023/11/13","156800","-400","-0.25","157700","158400","155800","620970","97433827400","22955954336000","146402770"
"2023/11/10","157200","-800","-0.51","157000","159100","156600","546992","86149655400","23014515444000","146402770"
"2023/11/09","158000","500","0.32","157800","159500","156000","701722","111073054200","23131637660000","146402770"
"2023/11/08","157500","1900","1.22","156700","158700","155800","592520","93154130450","23058436275000","146402770"
"2023/11/07","155600","-2300","-1.46","160300","161500","154000","1245249","196276996500","22780271012000","146402770"
"2023/11/06","157900","8000","5.34","152200","157900","151500","1197662","185176299100","23116997383000","146402770"
"2023/11/03","149900","100","0.07","149700","150100","149100","454326","67993718000","21945775223000","146402770"
"2023/11/02","149800","400","0.27","149800","150000","149000","542480","81113980500","21931134946000","146402770"
"2023/11/01","149400","-100","-0.07","149700","150000","149100","468825","70116332200","21872573838000","146402770"
"2023/10/31","149500","200","0.13","150000","150500","148500","423138","63244411100","21887214115000","146402770"
"2023/10/30","149300","-200","-0.13","149200","150300","149100","411392","61584213800","21857933561000","146402770"
"2023/10/27","149500","-200","-0.13","150400","150500","148100","417382","62317447300","21887214115000","146402770"
"2023/10/26","149700","-400","-0.27","148900","150800","147400","534838","79838625700","21916494669000","146402770"
"2023/10/25","150100","0","0.00","150500","151400","148800","663987","99824050900","21975055777000","146402770"
"2023/10/24","150100","9500","6.76","142000","150500","141500","967992","142356026800","21975055777000","146402770"
"2023/10/23","140600","-1600","-1.13","146000","147800","138500","921528","131054695600","20584229462000","146402770"
"2023/10/20","142200","-100","-0.07","141700","143100","140400","364869","51758911600","20818473894000","146402770"
"2023/10/19","142300","0","0.00","141500","145300","141000","316339","45215269900","20833114171000","146402770"
"2023/10/18","142300","-2700","-1.86","145300","146100","142000","246276","35283623500","20833114171000","146402770"
"2023/10/17","145000","500","0.35","145100","147400","144800","261280","38113887200","21228401650000","146402770"
"2023/10/16","144500","600","0.42","143700","145300","143400","317837","45916525100","21155200265000","146402770"
"2023/10/13","143900","-200","-0.14","142400","144700","141500","246252","35405314100","21067358603000","146402770"
"2023/10/12","144100","3200","2.27","141500","144100","141200","386909","55306430200","21096639157000","146402770"
"2023/10/11","140900","700","0.50","141100","142600","140000","224905","31709718600","20628150293000","146402770"
"2023/10/10","140200","3200","2.34","139800","143800","139600","434998","61437975500","20525668354000","146402770"
"2023/10/06","137000","5200","3.95","131200","138400","131100","404988","54762707600","20057179490000","146402770"
"2023/10/05","131800","-4100","-3.02","136000","138000","131000","497887","66841450600","19295885086000","146402770"
"2023/10/04","135900","-3300","-2.37","138700","138700","135300","447358","60860246800","19896136443000","146402770"
"2023/09/27","139200","2600","1.90","134500","139800","134500","260860","35958105600","20379265584000","146402770"
"2023/09/26","136600","-2700","-1.94","139300","140000","136400","335202","46075333400","19998618382000","146402770"
"2023/09/25","139300","0","0.00","139300","140400","138500","263708","36741646000","20393905861000","146402770"
"2023/09/22","139300","-3200","-2.25","141200","142000","139300","435892","61148276800","20393905861000","146402770"
"2023/09/21","142500","-2800","-1.93","145300","145300","142500","363843","52059288900","20862394725000","146402770"
"2023/09/20","145300","-300","-0.21","145600","146000","144300","199649","28935643200","21272322481000","146402770"
"2023/09/19","145600","-800","-0.55","146100","147300","145100","182107","26571380000","21316243312000","146402770"
"2023/09/18","146400","-100","-0.07","145900","148000","145800","186548","27360530500","21433365528000","146402770"
"2023/09/15","146500","-1100","-0.75","147700","147700","146400","347460","51011337100","21448005805000","146402770"
"2023/09/14","147600","1400","0.96","146700","147600","145700","422052","62065881200","21609048852000","146402770"
"2023/09/13","146200","0","0.00","145700","147500","144600","272880","39825320600","21404084974000","146402770"
"2023/09/12","146200","-3100","-2.08","149200","149200","145500","353004","51765509000","21404084974000","146402770"
"2023/09/11","149300","1800","1.22","147500","149700","147000","333692","49534687700","21857933561000","146402770"
"2023/09/08","147500","1100","0.75","146400","147900","146300","295123","43447257100","21594408575000","146402770"
"2023/09/07","146400","-500","-0.34","145800","147500","145300","297979","43580336100","21433365528000","146402770"
"2023/09/06","146900","300","0.20","146000","147100","145200","370894","54174960900","21506566913000","146402770"
"2023/09/05","146600","1100","0.76","144600","147000","144600","289260","42146941300","21462646082000","146402770"
"2023/09/04","145500","1600","1.11","143900","145500","143700","271134","39247371900","21301603035000","146402770"
"2023/09/01","143900","0","0.00","143900","146100","143900","276549","40031095500","21067358603000","146402770"
"2023/08/31","143900","-3600","-2.44","147400","148000","143900","506440","73416548100","21067358603000","146402770"
"2023/08/30","147500","0","0.00","148500","148500","146100","282865","41698405700","21594408575000","146402770"
"2023/08/29","147500","3100","2.15","145300","147700","145300","393275","57756566300","21594408575000","146402770"
"2023/08/28","144400","900","0.63","144900","145000","142700","252682","36378098100","21140559988000","146402770"
"2023/08/25","143500","-1100","-0.76","145000","146000","143400","240799","34794795600","21008797495000","146402770"
"2023/08/24","144600","3100","2.19","142100","145700","140900","499358","71809457600","21169840542000","146402770"
"2023/08/23","141500","-1900","-1.32","143400","143900","141500","409600","58351398400","20715991955000","146402770"
"2023/08/22","143400","-1700","-1.17","145200","146400","143000","536871","77425402400","20994157218000","146402770"
"2023/08/21","145100","-5300","-3.52","150000","151000","145100","679159","100223918000","21243041927000","146402770"
"2023/08/18","150400","6800","4.74","153400","156900","148800","2918953","441377242461","22018976608000","146402770"
"2023/08/17","143600","-2100","-1.44","144800","146000","143300","543730","78575579400","21023437772000","146402770"
"2023/08/16","145700","-8300","-5.39","150000","150400","144400","851055","124846811300","21330883589000","146402770"
"2023/08/14","154000","-2500","-1.60","157600","157600","150600","508589","77984202400","22546026580000","146402770"
"2023/08/11","156500","400","0.26","156100","157300","154500","370992","58010208200","22912033505000","146402770"
"2023/08/10","156100","1200","0.77","154900","156800","152400","591550","91826013500","22853472397000","146402770"
"2023/08/09","154900","6900","4.66","147500","155000","147500","687924","105039929100","22677789073000","146402770"
"2023/08/08","148000","-1000","-0.67","149800","150400","147500","270912","40328572500","21665847576000","146390862"
"2023/08/07","149000","-1700","-1.13","150200","152300","149000","375680","56466153000","21812238438000","146390862"
"2023/08/04","150700","-500","-0.33","151600","151900","149500","261080","39277220200","22061102903400","146390862"
"2023/08/03","151200","3200","2.16","147100","153000","146800","613417","92482291200","22134298334400","146390862"
"2023/08/02","148000","-3000","-1.99","151100","152100","146400","448818","66770376700","21665847576000","146390862"
"2023/08/01","151000","4400","3.00","147500","152100","147200","695903","104606580300","22105020162000","146390862"
"2023/07/31","146600","2800","1.95","144100","148000","143800","449053","65431250800","21460900369200","146390862"
"2023/07/28","143800","-300","-0.21","144300","145100","142300","367393","52687618400","21051005955600","146390862"
"2023/07/27","144100","1700","1.19","141100","145300","141100","636071","91337589300","21094923214200","146390862"
"2023/07/26","142400","-2100","-1.45","143900","144700","139500","1280593","181480624900","20846058748800","146390862"
"2023/07/25","144500","-2900","-1.97","146700","147900","144100","621953","90523629200","21153479559000","146390862"
"2023/07/24","147400","-3600","-2.38","150400","150500","146200","669720","98935691700","21578013058800","146390862"
"2023/07/21","151000","900","0.60","149900","153100","149900","406522","61716801700","22105020162000","146390862"
"2023/07/20","150100","200","0.13","149900","151100","149000","356426","53526070900","21973268386200","146390862"
"2023/07/19","149900","-100","-0.07","149300","151200","149200","369514","55431967800","21943990213800","146390862"
"2023/07/18","150000","-5900","-3.78","154600","155600","149100","644056","97114723200","21958629300000","146390862"
"2023/07/17","155900","-2300","-1.45","157500","158000","154600","377336","58807967400","22822335385800","146390862"
"2023/07/14","158200","2200","1.41","158200","160500","156200","681669","108104828900","23159034368400","146390862"
"2023/07/13","156000","3500","2.30","154200","162200","154100","1471599","232008042100","22836974472000","146390862"
"2023/07/12","152500","5900","4.02","146300","153900","144600","1134844","169337343500","22324606455000","146390862"
"2023/07/11","146600","-1700","-1.15","148300","149200","144000","824194","120566353900","21460900369200","146390862"
"2023/07/10","148300","-300","-0.20","148400","149800","147400","416070","61904646000","21709764834600","146390862"
"2023/07/07","148600","-4000","-2.62","151900","153000","148600","524598","78744692000","21753682093200","146390862"
"2023/07/06","152600","0","0.00","153100","153300","150500","495754","75528503300","22339245541200","146390862"
"2023/07/05","152600","2700","1.80","150700","154400","150600","561183","85808095000","22339245541200","146390862"
"2023/07/04","149900","-1700","-1.12","151600","152200","149600","495324","74555605000","21943990213800","146390862"
"2023/07/03","151600","-1300","-0.85","153000","153300","150400","581206","87999491600","22192854679200","146390862"
"2023/06/30","152900","400","0.26","152500","153900","150800","324685","49492234600","22383162799800","146390862"
"2023/06/29","152500","700","0.46","150600","154600","149300","394752","60240830200","22324606455000","146390862"
"2023/06/28","151800","1000","0.66","152200","154300","150300","803517","122125280300","22222132851600","146390862"
"2023/06/27","150800","-14300","-8.66","165100","166500","149400","1826800","283599508600","22075741989600","146390862"
"2023/06/26","165100","1200","0.73","163600","166100","162700","434813","71595234900","24169131316200","146390862"
"2023/06/23","163900","2300","1.42","162000","164700","160400","588025","95910402500","23993462281800","146390862"
"2023/06/22","161600","2600","1.64","158500","161900","158500","418004","67092967500","23656763299200","146390862"
"2023/06/21","159000","-2100","-1.30","161100","162000","158600","375242","59996437000","23276147058000","146390862"
"2023/06/20","161100","-1900","-1.17","162800","163900","161000","322326","52165554500","23583567868200","146390862"
"2023/06/19","163000","-2300","-1.39","165400","166000","163000","263210","43163959800","23861710506000","146390862"
"2023/06/16","165300","1200","0.73","164900","168400","163900","516552","85905500800","24198409488600","146390862"
"2023/06/15","164100","-300","-0.18","164800","165400","161600","524873","85720205200","24022740454200","146390862"
"2023/06/14","164400","-600","-0.36","165300","166400","163700","374811","61673361200","24066657712800","146390862"
"2023/06/13","165000","-2000","-1.20","167300","168600","165000","426438","70903600300","24154492230000","146390862"
"2023/06/12","167000","-2000","-1.18","169600","169700","167000","299960","50312410500","24447273954000","146390862"
"2023/06/09","169000","800","0.48","168800","171000","167800","344092","58160782800","24740055678000","146390862"
"2023/06/08","168200","-2200","-1.29","170500","171000","167200","526815","88715466100","24622942988400","146390862"
"2023/06/07","170400","-1800","-1.05","172200","173200","170400","400233","68522023687","24945002884800","146390862"
"2023/06/05","172200","-1300","-0.75","174500","174700","171300","256488","44249092500","25208506436400","146390862"
"2023/06/02","173500","-1900","-1.08","176400","176700","172400","402399","69787920928","25398814557000","146390862"
